Jahr,Anteil_am_BIP,Absolut_in_Mrd_USD
2008,3.15,56.18
2009,3.92,51.53
2010,3.59,58.72
2011,3.43,70.24
2012,3.69,81.47
2013,3.85,88.35
2014,4.11,84.7
2015,4.87,66.42
2016,5.43,69.25
2017,4.25,66.91
2018,3.72,61.61
2019,3.86,65.2
2020,4.17,61.71
2021,3.61,65.91
2022,4.69,102.37
2023,5.86,109.45
